title	director	rating	votes	year	genre	gross	budget	run-time	actor1	actor1_rank	actor1_sex	actor2	actor2_rank	actor2_sex	actor3	actor3_rank	actor3_sex	actor4	actor4_rank	actor4_sex	actor5	actor5_rank	actor5_sex	actor6	actor6_rank	actor6_sex	plot
The Big Short (2015)	Adam (I) McKay	7.8	206213	2015	Biography	133346506	28000000	130	Margot Robbie	4	F	Tom Cruise	49	M	Karen Gillan	80	F	Brad Pitt	91	M	Ryan Gosling	212	M	Christian Bale	247	M	Three separate but parallel stories of the U.S mortgage housing crisis of 2005 are told. Michael Burry an eccentric ex-physician turned one-eyed Scion Capital hedge fund manager has traded traditional office attire for shorts bare feet and a Supercuts haircut. He believes that the US housing market is built on a bubble that will burst within the next few years. Autonomy within the company allows Burry to do largely as he pleases so Burry proceeds to bet against the housing market with the banks who are more than happy to accept his proposal for something that has never happened in American history. The banks believe that Burry is a crackpot and therefore are confident in that they will win the deal. Jared Vennett with Deutschebank gets wind of what Burry is doing and as an investor believes he too can cash in on Burry's beliefs. An errant telephone call to FrontPoint Partners gets this information into the hands of Mark Baum an idealist who is fed up with the corruption in the financial industry. Baum and his associates who work at an arms length under Morgan Stanley decide to join forces with Vennett despite not totally trusting him. In addition to Burry's information they further believe that most of the mortgages are overrated by the bond agencies with the banks collating all the sub-prime mortgages under AAA packages. Charlie Geller and Jamie Shipley who are minor players in a $30 million start-up garage company called Brownfield get a hold of Vennett's prospectus on the matter. Wanting in on the action but not having the official clout to play they decide to call an old "friend" retired investment banker Ben Rickert to help out. All three of these groups work on the premise that the banks are stupid and don't know what's going on while for them to win the general economy has to lose which means the suffering of the general investor who trusts the financial institutions. That latter aspect may not sit well with Baum. Some of these assumptions may be incorrect and may be far more manipulative than they could have ever imagined which in turn may throw curves into the process.
The Covenant (2006)	Renny Harlin	5.3	39925	2006	Action	32347239	20000000	97	Sebastian Stan	355	M	Taylor Kitsch	843	M	Chace Crawford	2363	M	Steven Strait	2506	M	Laura Ramsey	2937	F	Stephen McHattie	5236	M	Four best friends young warlocks of the same coven who all share a same secret: a magic powers suddenly have to protect themselves from a stranger-another warlock just like them who has come to town to destroy their coven after a 300 years old hate... To the students of the Spenser Academy the Sons of Ipswich are the baddest boys on campus. But that's not all they share. The four friends also share a 300-year-old secret: they're warlocks the teenage descendants of a 17th-century coven of witches. So when the long-banished fifth son suddenly appears and threatens to kill their loved ones they realize they must face their enemy in order to prevent him from stealing their powers and shattering the covenant forever.
Sex and the City 2 (2010)	Michael Patrick King	4.3	60414	2010	Comedy	294680778	100000000	146	Alice Eve	102	F	Sarah Jessica Parker	196	F	Megan Boone	839	F	Miley Cyrus	1143	F	Kim Cattrall	1179	F	Chris Noth	3070	M	Two years have passed since Carrie Bradshaw finally bagged John "Mr. Big" Preston the man she was always meant to be with. Just as her friend Charlotte must deal with her young daughter's "terrible two's" Carrie must deal with her relationship taking a turn for the worse - Big likes to watch old black-and-white movies on TV and eat take-out food which prevents Carrie from feeling like the free-wheeling party girl she used to be. Meanwhile Miranda copes with a new boss that can't handle an intelligent powerful woman and Samantha works a public relations angle that gets the fashionable foursome an all-expense-paid trip to Abu Dhabi.
Like Minds (2006)	Gregory Read	6.4	3822	2006	Crime	34840	8000000	110	Eddie Redmayne	64	M	Toni Collette	213	F	Kate Maberly	2035	F	Richard Roxburgh	3047	M	Tom Sturridge	4438	M	David Threlfall	8768	M	The forensic psychiatric Sally Rowe is called by Detective Martin Mackenzie to analyze the profile of the teenager Alex Forbes who was found in a train station holding the body of his schoolmate Nigel Colby and with powder in his hand. Alex discloses his relationship with Nigel who believes that they were descendants of the Templar Knights and how Nigel used the power of his mind to control him. Mackenzie believes that Alex is the killer but Susan investigates the family of Nigel under pressure of Alex's father and finds that all of them belong to an ancient and powerful secret society.
Penguins of Madagascar (2014)	Eric (I) Darnell	6.7	61581	2014	Adventure	373543611	132000000	92	Benedict Cumberbatch	6	M	Werner Herzog	951	M	Peter Stormare	1137	M	John Malkovich	1861	M	Annet Mahendru	2762	F	Ken Jeong	3842	M	Super spy teams aren't born...they're hatched. Discover the secrets of the greatest and most hilarious covert birds in the global espionage biz: Skipper Kowalski Rico and Private. These elitists of the elite are joining forces with a chic undercover organization The North Wind. Led by handsome and husky Agent Classified (we could tell you his name but then...you know). Together they must stop the villainous Dr. Octavius Brine from destroying the world as we know it.
The Adventures of Baron Munchausen (1988)	Terry Gilliam	7.2	41984	1988	Adventure	8083123	46630000	126	Robin Williams	795	M	Uma Thurman	822	F	Terry Gilliam	3000	M	Jonathan Pryce	3232	M	Oliver Reed	3598	M	Eric Idle	6408	M	The fantastic tale of an 18th century aristocrat his talented henchmen and a little girl in their efforts to save a town from defeat by the Turks. Being swallowed by a giant sea-monster a trip to the moon a dance with Venus and an escape from the Grim Reaper are only some of the improbable adventures.
An Unfinished Life (2005)	Lasse Hallström	7	24341	2005	Drama	17995770	30000000	108	Morgan Freeman	932	M	Damian Lewis	1197	M	Robert Redford	1217	M	Josh Lucas	1968	M	Camryn Manheim	7440	F	Lynda Boyd	7640	F	To escape an abusive boyfriend without announcing her plans in advance Jean Gilkyson takes her young daughter Griff to the Wyoming ranch of her father-in-law Einar. Jean and Einar are disaffected as he blames her for the death of his son in a car accident. Einar is taking care of his friend Mitch who was attacked by a bear and Einar does not know that he has a granddaughter. While Mitch heals and forgives the bear Einar also changes his feelings regarding Jean finally understanding that accidents happen and accepting her and loving Griff.
True Identity (1991)	Charles (II) Lane	5.1	973	1991	Comedy	4693236	15000000	93	James Earl Jones	2020	M	Michael Jai White	2911	M	Peggy Lipton	2959	F	Frank Langella	3281	M	Michael McKean	3815	M	R. Lee Ermey	3931	M	True Identity is a comedy about a black actor named Miles Pope who wants to play a part in Othello. After a plane ride home from a failed acting job Miles meets a producer named Leland Carver who slips out his mob identity when the plane is about to crash but after all of that the plane does not crash. Now Miles is the only man who knows the past to this mob man. Miles gets the help of his best friend make-up artist Duane to turn him into a White man. As Miles is packing his stuff to get out of town the hitman walks in and a struggle is in affect. Miles wins the fight and kills the hitman in an electrical fashion. Now Anthony (Leland Carver's top man) comes in to confirm that Miles is dead. Now Miles is mistaken as the hitman. Now Miles must assume a parade of identity's to get away from the Mob's guns hot on his trail.
A Perfect World (1993)	Clint Eastwood	7.5	58426	1993	Crime	135200000	30000000	125	Clint Eastwood	267	M	Kevin Costner	716	M	Laura Dern	2133	F	Bradley Whitford	2483	M	Ray McKinnon	3768	M	Bruce McGill	4308	M	After escaping from a Huntsville prison convict Butch Haynes and his partner Terry Pugh kidnap a young boy Philip Perry and flee across Texas. As they travel together Butch and Philip discover common bonds and suffer the abuses of the outside "Perfect World." In pursuit is Texas Ranger "Red" Garnett and criminologist Sally Gerber.
Margin Call (2011)	J.C. Chandor	7.1	94047	2011	Biography	19504039	3500000	107	Grace Gummer	389	F	Penn Badgley	605	M	Zachary Quinto	647	M	Kevin Spacey	726	M	Demi Moore	846	F	Paul Bettany	1051	M	A respected financial company is downsizing and one of the victims is the risk management division head who was working on a major analysis just when he was let go. His protégé completes the study late into the night and then frantically calls his colleagues in about the company's financial disaster he has discovered. What follows is a long night of panicked double checking and double dealing as the senior management prepare to do whatever it takes to mitigate the debacle to come even as the handful of conscientious comrades find themselves dragged along into the unethical abyss.
Panic Room (2002)	David Fincher	6.8	209084	2002	Crime	196397415	48000000	113	Jared Leto	98	M	Nicole Kidman	415	F	Jodie Foster	663	F	Dwight Yoakam	1382	M	Forest Whitaker	1800	M	Paul Schulze	8150	M	Recently divorced Meg Altman and her daughter Sarah have bought a new home in New York. On their tour around the mansion they come across the panic room. A room so secure that no one can get in. When three burglars break in Meg makes a move to the panic room. But all her troubles don't stop there. The criminals know where she is and what they require the most in the house is in that very room.
X-Men: The Last Stand (2006)	Brett Ratner	6.8	389446	2006	Action	459359555	210000000	104	Ben Foster	134	M	James Marsden	226	M	Hugh Jackman	252	M	Famke Janssen	304	F	Shohreh Aghdashloo	567	F	Rebecca Romijn	688	F	When a cure is created which apparently can turn any mutant into a normal human being there is outrage amongst the mutant community. Whilst some mutants do like the idea of a cure including Rogue many mutants find that there shouldn't be a cure. Magneto who still believes a war is coming recruits a large team of mutants to take down Warren Worthington II and his cure. Might seem easy for the X-Men to stop but Magneto has a big advantage which Wolverine doesn't have. Jean Grey has returned and joined with Magneto. The Phoenix has woken within her which has the ability to destroy anything in her way even if that 'anything' is a X-Men.
London Has Fallen (2016)	Babak Najafi	5.9	82822	2016	Action	195691140	60000000	99	Gerard Butler	391	M	Morgan Freeman	932	M	Aaron Eckhart	1046	M	Angela Bassett	1259	F	Charlotte Riley	1295	F	Radha Mitchell	1638	F	After the British Prime Minister has passed away under mysterious circumstances all leaders of the Western world must attend his funeral. But what starts out as the most protected event on earth turns into a deadly plot to kill the world's most powerful leaders and unleash a terrifying vision of the future. The President of the United States his formidable secret service head and a British MI-6 agent who trusts no one are the only people that have any hope of stopping it.
Tin Men (1987)	Barry (I) Levinson	6.5	6650	1987	Comedy	25411386	11000000	112	Richard Dreyfuss	1356	M	Danny DeVito	1812	M	Barbara Hershey	1875	F	John Mahoney	4580	M	Bruno Kirby	6593	M	J.T. Walsh	6801	M	One step short of larceny the aluminum siding salesmen in this movie sell their wares compete with each other and engage in a lot of great dialog. Tin Men focuses on the rivalry between BB Babowsky and Ernest Tilley. At the same time the end of small world of which they are kings looms near as a government probe investigates their industry.
Someday This Pain Will Be Useful to You (2011)	Roberto Faenza	5.8	2120	2011	Drama	532777	8000000	95	Stephen Lang	454	M	Deborah Ann Woll	764	F	Ellen Burstyn	1721	F	Marcia Gay Harden	1843	F	Toby Regbo	2407	M	Peter Gallagher	3041	M	James Sveck is a lonely youth in the summer before he goes off to college at Brown University. Apart from hanging with his grandmother James prefers solitude. The story is told in first person narration which helps give an intimate inside view of James as he works through his life at the therapy sessions which his parents insist he goes to. We learn about James's past and present through the stories he tells.
Lucy (2014/I)	Luc Besson	6.4	335072	2014	Action	458863600	40000000	89	Scarlett Johansson	89	F	Analeigh Tipton	676	F	Morgan Freeman	932	M	Luc Besson	2732	M	Min-sik Choi	4979	M	Julian Rhind-Tutt	6073	M	It was supposed to be a simple job. All Lucy had to do was deliver a mysterious briefcase to Mr. Jang. But immediately Lucy is caught up in a nightmarish deal where she is captured and turned into a drug mule for a new and powerful synthetic drug. When the bag she is carrying inside of her stomach leaks Lucy's body undergoes unimaginable changes that begins to unlock her mind's full potential. With her new-found powers Lucy turns into a merciless warrior intent on getting back at her captors. She receives invaluable help from Professor Norman the leading authority on the human mind and French police captain Pierre Del Rio.
Village of the Damned (1995)	John (I) Carpenter	5.6	22195	1995	Horror	9417567	22000000	99	John Carpenter	457	M	Mark Hamill	763	M	Kirstie Alley	1266	F	Christopher Reeve	1799	M	Thomas Dekker	3310	M	Linda Kozlowski	3473	F	An American village is visited by some unknown life form which leaves the women of the village pregnant. Nine months later the babies are born and they all look normal but it doesn't take the "parents" long to realize that the kids are not human or humane.
Piranha 3DD (2012)	John Gulager	3.8	32497	2012	Comedy	8493728	5000000	83	Danielle Panabaker	137	F	Christopher Lloyd	712	M	Jean-Luc Bilodeau	1454	M	Katrina Bowden	1662	F	Ving Rhames	3139	M	Gary Busey	3162	M	Having awoken from their spring break extravaganza at Lake Victoria the swarm heads upstream where they look to make a meal out of Big Wet a local water park where when it comes to fun nobody does it wetter! Though they came to get wet get loaded and get some the staff and patrons get more than they bargained for when they must face the fiercest most bloodthirsty piranhas yet. Lead by the strong-willed studious Maddy and her friends Barry and Kyle the trio must dive in and take on these man-eating creatures using every ounce of their being but can they be stopped?
Syrup (2013/I)	Aram Rappaport	5.7	9239	2013	Comedy	656	2500000	90	Amber Heard	160	F	Brittany Snow	1193	F	Kirstie Alley	1266	F	Kellan Lutz	2298	M	Shiloh Fernandez	2929	M	Rachel Dratch	6098	F	A young man named Scat comes up with a new idea for a drink after he drops his drink and swears calling it 'FUKK'. He goes to Addison Cola Company where he maneuvers a meeting with a formidable marketing executive Six by triggering the fire alarm. While mediocre she tells him that she and her team will polish it before it is presented to the board. During the meeting the board shows some resistance but Six informs them that Scat is willing to give up trademark provisions for a mere two million. Scat then realizes he has not reserved the trademark and scrambles to the Patent and Trademark Office only to find out that his roommate Sneaky Pete stole his idea and registered it earlier that morning. Success befalls Pete as 'FUKK' becomes the highest selling energy drink in the nation. Embittered Scat goes back to his ordinary life but is later recruited by Six to help her come up with a new ad campaign after she is booted off the 'FUKK' campaign and relegated to Addy Classics. Instructed to come up with a brilliant idea by Friday (only five days away) Scat moves in with Six and is unable to think of anything until only moments before the deadline. After shaking a vending machine in frustration and Six telling him that twelve people have died by being crushed by vending machines he comes up with the idea of 'Wouldn't you die for a Fukk' advertising a cartoon where people die by being crushed by vending machines because they want the drink so badly. The ad is accepted and aired but a young teenager dies by being crushed by a vending machine and the ad is now considered insensitive and taken off air. Scat and Six attend the funeral and when Scat makes a speech Six points out that all the mourners are actors that she recognizes from ads. Scat quickly realizes that Sneaky Pete created this fake death to get their ad to fail and he quickly pulls out the fake body from the coffin and holds it up for all to see. Scat is fired while believing that Six remains at the company. In reality Six quit when Addison refused to keep Scat now working at a shoe store. After a brief stint as a rickshaw driver Scat is hired by a rival company and Six is also poached. The two must come up with a new drink idea and after talking about their attraction for each other Scat comes up with the idea of 'Average KOK'. He presents this as a drink to the board and also thinks of a different drink just called 'KOK' that they give to celebrities. The normal 'KOK's are numbered up to 100 and each number represents a celebrity and the celebrity deems who can drink their numbered drink. After the frenzy for the drink that they can't have Scat and the company decide to make the drink go public but not before the suicide of a teenager who killed himself after not being 'cool' enough to drink his lucky number 17's corresponding drink. After confirming that this time the death is real Scat goes on TV to apologize but ends up pointing out that drink sales have never been higher even after the death and that people like him 'have a dream'. Scat walks along watching himself on the TV displays and Six finds him. Scat tells her his real name is 'Michael' and asks for her real name. They kiss but Six insists that "Six" is her name. Scat says "It's been a pleasure doing business with you Six" and walks away.
Lovelace (2013)	Rob (I) Epstein	6.2	31334	2013	Biography	356582	10000000	93	James Franco	192	M	Amanda Seyfried	470	F	Wes Bentley	558	M	Juno Temple	561	F	Peter Sarsgaard	1293	M	Robert Patrick	1294	M	Events surrounding Linda's relationship with Chuck and the production of Deep Throat are portrayed twice. The first portrayal includes no violence or intimidation making her life look perfect but the second portrayal reveals the truth and what really happened including scenes of domestic abuse and intimidation by Traynor. In 1970 20-year-old Linda Lovelace (Amanda Seyfried) is living with her overbearing parents in Davie Florida. While out dancing one night with her best friend Patsy (Juno Temple) she attracts the attention of Chuck Traynor (Peter Sarsgaard) and the two soon develop a serious relationship. He is much older than her and begins teaching her how to perform sexual acts which she is initially thrilled about. After breaking a curfew one night Linda is slapped by her mother (Sharon Stone) so she decides to move out and live with Chuck later marrying him. During a party Linda watches one of Chuck's homemade porno films for the first time and tells him that good girls like her don't do stuff like that. Six months later Linda bails Chuck out of jail for soliciting prostitution which he refuses to talk about with her. Desperate for money he later persuades Linda to become a pornographic film actress and she soon begins working on the film Deep Throat where she first uses her stage name Linda Lovelace. The movie becomes a huge hit raking in over $30000 at the box office in its first week. After it becomes a worldwide phenomenon Linda is interviewed by a variety of print and radio reporters and becomes the subject of late night television humor much to the disgrace of her estranged parents. Her life is seen as exciting and glamorous: she poses nude for photoshoots and attends swanky parties weekly. During a private screening in Los Angeles Hugh Hefner (James Franco) convinces Linda that she has the potential to be more than a porn actress. In the second version of events Chuck's violent nature is gradually exposed and Linda's life is revealed not to be as perfect as it seems. He chokes Linda during sex and refuses to stop when she asks claiming it to be "passion" and forces her into prostitution at gunpoint. Linda visits her parents to ask if she can move back for a while after she reveals that Chuck has been hitting her but her mom says no tells her to go home and be a good wife since she must have done something to deserve his abuse. It appears that Linda no longer loves him like earlier but has no other choice. After Chuck learns that Linda has been discussing a new salary with the movie's director Gerard Damiano (Hank Azaria) without telling him he punishes her by making her shower in freezing water. When Deep Throat becomes a hit Chuck tries to persuade Linda to do another porn film but she refuses. He then takes her to a party and forces Linda to participate in a gang bang at a hotel again at gunpoint for the money instead. She attempts to escape from him that night but he catches her and ends up sleeping on top of her so she can't try again during the night. The following day she secretly meets up with Anthony Romano (Chris Noth) and tells him she wants out of the porno business revealing the facial bruises and cuts inflicted by Chuck. Disgusted Romano has her checked into a private hotel while he and his bodyguards whip Traynor for abusing Linda and for the $25000 he owes. Six years later following her divorce to Chuck Linda marries Larry Marchiano moves to Long Island and has a son by him. She later takes a polygraph test before publishing her autobiography Ordeal which details years of Chuck physically and sexually abusing her as well as taking all of her earnings. Linda appears on Donahue with her distraught parents breaking down in tears while watching her on TV. A few days later the Marchianos travel to Florida for Linda to reconcile with her parents. Closing captions reveal that while Deep Throat made over $600 million worldwide Linda only earned $1250 because Chuck controlled the money like he controlled everything. Ordeal went on to sell out three printings and for 20 years Linda spoke out against pornography and domestic violence. Chuck later went on to marry Marilyn Chambers another porn actress. Linda died at age 53 from injuries sustained in a car accident in 2002 and Traynor suffered a fatal heart attack three months later. A picture of Linda is shown right before the ending credits.
Strange Wilderness (2008)	Fred (II) Wolf	5.3	18793	2008	Adventure	6563357	20000000	87	Jonah Hill	665	M	Robert Patrick	1294	M	Justin Long	1447	M	Harry Hamlin	1852	M	Kevin Alejandro	1919	M	Steve Zahn	2600	M	When his father dies Peter Gaulke inherits "Strange Wilderness" dad's TV show about animals. After ratings plummet and the show is canceled we watch a long flashback to see its demise. The studio head gives the show two more weeks. An old friend brings a story about Bigfoot in Ecuador so a long road trip ensues with stops along the way and enough problems misjudgments and deaths to sink a less intrepid band. Peter's team faces competition from a better-funded and more practiced set of rivals. Who will find Bigfoot first and will they get it on tape and save the show? Can Peter make dad proud?
Regarding Henry (1991)	Mike (I) Nichols	6.7	23648	1991	Drama	43001500	50000000	108	Harrison Ford	471	M	J.J. Abrams	1283	M	Annette Bening	1297	F	John Leguizamo	1748	M	James Rebhorn	6763	M	Nancy Marchand	8519	F	Henry is a lawyer who survives a shooting only to find he cannot remember anything. If that weren't enough Henry also has to recover his speech and mobility in a life he no longer fits into. Fortunately Henry has a loving wife and daughter to help him.
Critters (1986)	Stephen Herek	6	24036	1986	Action	13167232	2000000	82	Billy Zane	1407	M	Lin Shaye	1938	F	Scott Grimes	3871	M	Ethan Phillips	6246	M	M. Emmet Walsh	6257	M	Terrence Mann	9943	M	A massive ball of furry creatures from another world eat their way through a small mid-western town followed by intergalactic bounty hunters opposed only by militant townspeople.
High-Rise (2015)	Ben (I) Wheatley	5.7	19938	2015	Drama	323899	6100000	119	Luke Evans	52	M	Tom Hiddleston	283	M	Keeley Hawes	540	F	Sienna Miller	838	F	Augustus Prew	947	M	Sienna Guillory	1144	F	The film opens with Dr. Robert Laing (Tom Hiddleston) living in a ravaged tower block killing a white Siberian husky and spit roasting it. The film flashes back to three months ago when life was more typical. The forty story high-rise tower on the outskirts of London built by esteemed architect Anthony Royal (Jeremy Irons) is the epitome of chic modern living. The upper echelons of society live in the top floors while more common families live in the lower ones. The high-rise provides its tenants with a swimming pool gym spa supermarket and even a primary school. There is little reason to leave the building outside of working hours and its occupants gradually become isolated from the outside world. Laing moves into an apartment on the 25th floor after his sister dies. He begins a relationship with single mother Charlotte Melville (Sienna Miller) and becomes a fatherly figure to her son Toby (Louis Suc). He also becomes friends with Richard Wilder (Luke Evans) and his heavily-pregnant wife Helen (Elisabeth Moss) who live in a low-level apartment with their children. Laing works at a school of physiology. While he is cracking open a severed head a student named Munrow (Augustus Prew) faints. Having taken a fall he is given brain scans as a precaution. The next day Laing is taken to the 40th story penthouse to meet Royal he finds an opulent rooftop garden and is invited to a party being thrown by Royal's snobby wife Ann (Keeley Hawes). The party turns out to be an 18th-century costume party and Laing's everyday suit is ridiculed by Ann and other guests including Munrow who also lives in the building. Laing is thrown out of the party and becomes trapped in an elevator during a power cut. Such outages are becoming common along with water being shut off and garbage chutes becoming blocked much to the annoyance of the lower-floor residents. During a game of squash Royal tells Laing that these are simply the growing pains of a new building. Laing receives Munrow's brain scans which come back clean. However still angry about his humiliation the vengeful Laing tells Munrow that they may have "found something". Another power out in the high-rise leads to a night of decadent partying in the hallways and apartments. A drunken and distressed Munrow commits suicide by jumping off the 39th floor crashing onto the bonnet of a car. Wilder finds it suspicious that no police show up to the scene and becomes intent on exposing the injustices of the high-rise. Law and order begin to disintegrate in the building due to the failing infrastructure and increasing tensions between floors. Violence becomes commonplace food from the supermarket becomes scarce and the building devolves into class warfare between floors. Garbage bags are piled high in the fire and there are spot-fires and graffiti through the lower floors. It is implied that Royal has been bribing authorities to ignore the chaos within the high-rise. Feeling guilty about Munrow's suicide Laing shows signs of mental disturbance eventually barricading himself in his apartment and settling into the chaotic atmosphere even having sexual intercourse with Helen. Wilder waking up from a fight with upper-floor residents intends to find and kill Royal believing him to be the cause of what has happened within the high-rise. Acquiring a gun from the Royal's former housekeeper Wilder also finds that Charlotte is Royal's aide and that Toby is Royal's illegitimate child. Breaking into Charlotte's apartment Wilder tortures and rapes Charlotte for information on Royal. The only resident who leaves the building for work upper-floor resident and television newsreader Cosgrove (Peter Ferdinando) is captured and killed by a gang of lower-floor residents. Some upper-floor residents ask Laing to lobotomize Wilder as they believe he is a dangerous agitator causing the majority of the chaos in the building. After Laing conducts a psychiatric examination he refuses saying that Wilder is "possibly the sanest man in the building". Laing is nearly thrown off the building to his death for this but Royal steps in and saves him. Laing and Royal talk about the failure and arguable success of the high rise that it is a "crucible for change" and could lead to "new developments" as well as giving the residents the opportunity to escape to a new life. The women at the top begin working on a plan to establish new management of the building and Helen gives birth to her overdue baby. Wilder manages to make his way to the penthouse and shoots Royal dead after a scuffle. He is then killed by Royal's harem of women as Toby looks on through his kaleidoscope. The film ends as it began in the ravaged high-rise. Violence has abated somewhat now that many residents lie dead as well as many of the apartments in ruin. Laing appears to have gone insane speaking about himself and to others in the third person and talking to the building. Laing then lies down with Charlotte reflecting that what has happened will eventually reach the second tower of the high-rise development. The film ends with Toby listening to a radio broadcast of Margaret Thatcher saying that where there is state capitalism there can never be political freedom.
The Great Debaters (2007)	Denzel Washington	7.6	48220	2007	Biography	30226144	15000000	126	Denzel Washington	322	M	Forest Whitaker	1800	M	Glen Powell	2149	M	Jurnee Smollett-Bell	2414	F	Nate Parker	3400	M	John Heard	4861	M	Marshall Texas described by James Farmer Jr. as "the last city to surrender after the Civil War" is home to Wiley College where in 1935-36 inspired by the Harlem Renaissance and his clandestine work as a union organizer Professor Melvin Tolson coaches the debate team to a nearly-undefeated season that sees the first debate between U.S. students from white and Negro colleges and ends with an invitation to face Harvard University's national champions. The team of four which includes a female student and a very young James Farmer is tested in a crucible heated by Jim Crow sexism a lynch mob an arrest and near riot a love affair jealousy and a national radio audience.
Eight Men Out (1988)	John (I) Sayles	7.3	15248	1988	Drama	5680515	6000000	119	John Cusack	619	M	Christopher Lloyd	712	M	Michael Rooker	905	M	Charlie Sheen	995	M	Ken Berry	2517	M	David Strathairn	3520	M	The great Chicago White Sox team of 1919 is the saddest team to ever win a pennant. The team is bitter at their penny pincher owner Charles Comiskey and at their own teammates. Gamblers take advantage of this opportunity to offer some players money to throw the series. (Most of the players didn't get as much as promised.) But Buck Weaver and the great Shoeless Joe Jackson turn back at the last minute and try to play their best. The Sox actually almost come back from a 3-1 deficit. Two years later the truth breaks out and the Sox are sued on multiple counts. They are found innocent by the jury but baseball commissioner Landis has other plans. The eight players are suspended for life and Buck Weaver for the rest of his life tries to clear his name.
Guest House Paradiso (1999)	Adrian Edmondson	6.1	7890	1999	Comedy	1470458	3000000	89	Simon Pegg	528	M	Vincent Cassel	1505	M	Bill Nighy	1586	M	James D'Arcy	2251	M	Sophia Myles	2310	F	Kate Ashfield	2738	F	Richie and Eddie are in charge of the worst hotel in the UK Guest House Paradiso neighbouring a nuclear power plant. The illegal immigrant chef has fled and all the guests have gone. But when a famous Italian filmstar Gina Carbonara who is in hiding from a fiance she doesn't want to marry arrives at the hotel things get very interesting! Another family come to the hotel as it is the only one they can afford and when Richie uses the many tunnels and airways to steal some of their rubber bikinis then is caught by the family's dad he tries everything to get the video back. When Eddie finds some radioactive fish and it's served to the customers a bunch of power plant workers find out and a quaratine is on its way. Even worse when Gina's estranged fiance arrives all hell breaks loose! Just in time for Eddie Richie and Gina to escape to the Carribean and spend all their new found money!
All or Nothing (2002)	Mike (I) Leigh	7.6	8230	2002	Drama	121756	9000000	121	James Corden	1865	M	Timothy Spall	2654	M	Leo Bill	4627	M	Lesley Manville	7483	F	Daniel Mays	7497	M	Maxine Peake	7799	F	Penny's love for her partner taxi-driver Phil has run dry. He is a gentle philosophical guy and she works on the checkout at a supermarket. Their daughter Rachel cleans in a home for elderly people and their son Rory is unemployed and aggressive. The joy has gone out of Phil's and Penny's life but when an unexpected tragedy occurs they are brought together to rediscover their love. All or Nothing is set on a London working-class housing estate over a long weekend and also tells the stories of a range of Phil and Penny's neighbors some of whom become involved in the family's lives and all of whom experience an emotional journey.
Let's Be Cops (2014)	Luke (I) Greenfield	6.5	108945	2014	Comedy	138224951	17000000	104	Nina Dobrev	44	F	Jake Johnson	1666	M	Andy Garcia	1798	M	Natasha Leggero	1987	F	James D'Arcy	2251	M	Damon Wayans Jr.	2824	M	It's the ultimate buddy cop movie except for one thing: they're not cops. When two struggling pals dress as police officers for a costume party they become neighborhood sensations. But when these newly-minted "heroes" get tangled in a real life web of mobsters and dirty detectives they must put their fake badges on the line.
Twin Peaks: Fire Walk with Me (1992)	David (I) Lynch	7.2	56839	1992	Drama	4160851	10000000	135	Kiefer Sutherland	624	M	David Lynch	1475	M	Kyle MacLachlan	2180	M	Sheryl Lee	2543	F	David Bowie	2808	M	Peggy Lipton	2959	F	Essentially a prequel to David Lynch and Mark Frost's earlier TV series "Twin Peaks". The first half-hour or so concerns the investigation by FBI Agent Chet Desmond (Chris Isaak) and his partner Sam Stanley (Kiefer Sutherland) into the murder of night-shift waitress Teresa Banks in the small Washington state town of Deer Meadow. When Desmond finds a mysterious clue to the murder he inexplicably disappears. The film then cuts to one year later in the nearby town of Twin Peaks and follows the events during the last week in the life of Laura Palmer (Sheryl Lee) a troubled teenage girl with two boyfriends; the hot-tempered rebel Bobby Briggs (Dana Ashbrook) and quiet biker James Hurley (James Marshall) her drug addiction and her relationship with her difficult (and possible schizophrenic) father Leland (Ray Wise) a story in which her violent murder was later to motivate much of the TV series. Contains a considerable amount of sex drugs violence very loud music and inexplicable imagery.
Northfork (2003)	Michael Polish	6.4	4914	2003	Drama	1420578	1900000	103	Ben Foster	134	M	Claire Forlani	654	F	Daryl Hannah	1229	F	James Woods	1965	M	Kyle MacLachlan	2180	M	Nick Nolte	2245	M	In a near-empty Northfork orphanage Father Harlan gently tends to Irwin an eight-year-old who lies between a dream state and death. As orphanage caretaker Harlan reads aloud about Northfork's years-ago forced evacuation to make way for a hydro-electric dam Irwin's imagination takes flight. While a team of six men evacuate the last remaining citizens of the town Irwin too invents a cast of characters to prepare himself for his own evacuation. (the above states the caretaker - who is actually the priest - is reading about a years-ago evacuation. In the movie the evacuation is taking place as the boy lays dying!)
