title,director,rating,votes,year,genre,gross,budget,run-time,actor1,actor1_rank,actor1_sex,actor2,actor2_rank,actor2_sex,actor3,actor3_rank,actor3_sex,actor4,actor4_rank,actor4_sex,actor5,actor5_rank,actor5_sex,actor6,actor6_rank,actor6_sex
Legion (2010),Scott (XX) Stewart,5.2,81808,2010,Action,67918658,26000000,100,Adrianne Palicki,265,F,Doug Jones,426,M,Willa Holland,447,F,Kevin Durand,873,M,Paul Bettany,1051,M,Lucas Black,1384,M
Sorority Row (2009),Stewart Hendler,5.1,24339,2009,Horror,11915856,16000000,101,Matt Lanter,221,M,Margo Harshman,1353,F,Rumer Willis,2995,F,Julian Morris,3339,M,Leah Pipes,4204,F,Matt O'Leary,7154,M
Shutter Island (2010),Martin (I) Scorsese,8.1,805196,2010,Mystery,294804195,80000000,138,Leonardo DiCaprio,38,M,Mark Ruffalo,817,M,Ted Levine,1456,M,Jackie Earle Haley,1640,M,Ben Kingsley,1701,M,Max von Sydow,1733,M
The Money Pit (1986),Richard (I) Benjamin,6.3,38585,1986,Comedy,54999651,10000000,91,Tom Hanks,68,M,Shelley Long,2802,F,Frankie Faison,4024,M,Joe Mantegna,4579,M,Michael Jeter,5574,M,Wendell Pierce,5703,M
Jack and Jill (2011/I),Dennis (I) Dugan,3.4,61287,2011,Comedy,150519217,79000000,91,Johnny Depp,28,M,Adam Sandler,400,M,Al Pacino,510,M,Richard Harris,996,M,Dana Carvey,1991,M,David Spade,2143,M
50/50 (2011),Jonathan (II) Levine,7.7,273715,2011,Comedy,39187783,8000000,100,Bryce Dallas Howard,13,F,Anjelica Huston,286,F,Sugar Lyn Beard,307,F,Joseph Gordon-Levitt,342,M,Seth Rogen,603,M,Marie Avgeropoulos,1205,F
Miracle Mile (1988),Steve De Jarnatt,7,6403,1988,Action,1145404,3700000,81,Mykelti Williamson,1486,M,Anthony Edwards,2293,M,Peter Berg,2326,M,Mare Winningham,2944,F,Brian Thompson,3860,M,Alan Rosenberg,5534,M
Quick Change (1990),Howard Franklin,6.8,16108,1990,Comedy,15260154,15000000,89,Bill Murray,195,M,Geena Davis,502,F,Stanley Tucci,1523,M,Randy Quaid,3488,M,Tony Shalhoub,3832,M,Kurtwood Smith,4069,M
Shrink (2009),Jonas Pate,6.7,16260,2009,Comedy,189332,5100000,104,Kevin Spacey,726,M,Robin Williams,795,M,Ike Barinholtz,1028,M,Mark Webber,1149,M,Jack Huston,1176,M,Keke Palmer,1439,F
Riding the Bullet (2004),Mick Garris,5.2,7627,2004,Horror,101107,5000000,98,Barbara Hershey,1875,F,Jonathan Jackson,2047,M,Erika Christensen,2090,F,Matt Frewer,2434,M,David Arquette,2524,M,Cliff Robertson,5246,M
Motherhood (2009/I),Katherine Dieckmann,4.6,3689,2009,Comedy,92900,5000000,90,Jodie Foster,663,F,Uma Thurman,822,F,Minnie Driver,1355,F,Anthony Edwards,2293,M,Stephanie Szostak,2718,F,Aunjanue Ellis,3938,F
Saving Private Ryan (1998),Steven Spielberg,8.6,900171,1998,Action,481840909,70000000,169,Tom Hanks,68,M,Bryan Cranston,182,M,Vin Diesel,206,M,Matt Damon,268,M,Ryan Hurst,1015,M,Nathan Fillion,1067,M
PCU (1994),Hart Bochner,6.5,10554,1994,Comedy,4350774,8000000,79,Jon Favreau,1329,M,Matt Ross,1577,M,David Spade,2143,M,Jeremy Piven,2819,M,Jake Busey,3676,M,Gary Cooper,4018,M
Mother and Child (2009),Rodrigo (I) García,7.2,9861,2009,Drama,1110286,4825000,125,Britt Robertson,197,F,Naomi Watts,423,F,Samuel L. Jackson,581,M,Annette Bening,1297,F,David Morse,2582,M,Marc Blucas,2709,M
The Campaign (2012),Jay Roach,6.2,107918,2012,Comedy,104907746,95000000,85,Will Ferrell,786,M,John Lithgow,872,M,Zach Galifianakis,921,M,Jason Sudeikis,1194,M,John Goodman,1303,M,Dan Aykroyd,1699,M
Beethoven's 2nd (1993),Rod Daniel,4.7,19548,1993,Comedy,118154166,15000000,89,Bonnie Hunt,1320,F,Danny Masterson,1326,M,Chris Penn,2074,M,Debi Mazar,2116,F,Nicholle Tom,3573,F,Charles Grodin,4924,M
Alexander and the Terrible Horrible No Good Very Bad Day (2014),Miguel Arteta,6.2,30579,2014,Comedy,100654149,28000000,81,Bella Thorne,149,F,Donald Glover,338,M,Dylan Minnette,547,M,Steve Carell,1072,M,Megan Mullally,1260,F,Jennifer Coolidge,1574,F
Deep Rising (1998),Stephen Sommers,6,26871,1998,Action,11203026,45000000,97,Famke Janssen,304,F,Djimon Hounsou,2067,M,Cliff Curtis,2429,M,Jason Flemyng,3148,M,Kevin J. O'Connor,5313,M,Wes Studi,5612,M
Armageddon (1998),Michael (I) Bay,6.6,327006,1998,Action,553709788,140000000,153,Ben Affleck,81,M,Bruce Willis,377,M,Billy Bob Thornton,433,M,William Fichtner,861,M,Liv Tyler,991,F,Peter Stormare,1137,M
The Martian (2015),Ridley Scott,8,505852,2015,Adventure,629281283,108000000,151,Kristen Wiig,126,F,Benedict Wong,150,M,Chiwetel Ejiofor,183,M,Jessica Chastain,191,F,Matt Damon,268,M,Donald Glover,338,M
Conspiracy Theory (1997),Richard Donner,6.7,77292,1997,Action,136982834,75000000,135,Mel Gibson,29,M,Patrick Stewart,1165,M,Karl Makinen,2058,M,Dean Winters,2947,M,Rick Hoffman,2949,M,Tom McCarthy,5331,M
Reservation Road (2007),Terry (I) George,6.7,18923,2007,Crime,1783000,11000000,102,Jennifer Connelly,229,F,Elle Fanning,250,F,Mark Ruffalo,817,M,Joaquin Phoenix,893,M,Mira Sorvino,1768,F,John Slattery,2981,M
Labor Day (2013),Jason Reitman,6.9,32573,2013,Drama,13362308,18000000,111,Maika Monroe,320,F,Kate Winslet,492,F,Dylan Minnette,547,M,J.K. Simmons,810,M,Josh Brolin,856,M,Micah Fowler,1085,M
Home of the Brave (2006),Irwin Winkler,5.6,9400,2006,Action,49753,12000000,106,Samuel L. Jackson,581,M,Chad Michael Murray,611,M,50 Cent,4165,M,Victoria Rowell,5555,F,Jeffrey Nordling,6757,M,Thad Luckinbill,8953,M
Garfield: A Tail of Two Kitties (2006),Tim (III) Hill,5,28131,2006,Animation,141702264,60000000,78,Tim Curry,85,M,Bill Murray,195,M,Jennifer Love Hewitt,357,F,Rhys Ifans,2094,M,Vinnie Jones,2315,M,Jane Leeves,3086,F
Georgia Rule (2007),Garry (I) Marshall,5.9,20733,2007,Comedy,18882880,20000000,113,Dermot Mulroney,189,M,Lindsay Lohan,508,F,Garrett Hedlund,646,M,Cary Elwes,1002,M,Jane Fonda,1545,F,Laurie Metcalf,2078,F
A Haunted House (2013),Michael Tiddes,5.1,35191,2013,Comedy,60141683,2500000,86,Marlon Wayans,2697,M,Alanna Ubach,2836,F,David Koechner,4096,M,Nick Swardson,4888,M,Dave Sheridan,5073,M,J.B. Smoove,5564,M
The Chumscrubber (2005),Arie Posin,7,16414,2005,Comedy,49526,6800000,108,Justin Chatwin,175,M,Carrie-Anne Moss,311,F,Ralph Fiennes,512,M,William Fichtner,861,M,Allison Janney,862,F,Jamie Bell,1078,M
Death Warrant (1990),Deran Sarafian,5.6,12708,1990,Action,16853487,4000000,89,Jean-Claude Van Damme,757,M,Cynthia Gibb,4283,F,Armin Shimerman,5112,M,Joshua John Miller,6685,M,Patrick Kilpatrick,7711,M,Robert Guillaume,8195,M
Night Train to Lisbon (2013),Bille August,6.8,13085,2013,Mystery,8962375,7700000,111,Christopher Lee,616,M,Jack Huston,1176,M,Jeremy Irons,1190,M,Charlotte Rampling,1830,F,Lena Olin,3869,F,Bruno Ganz,4943,M
Cherry Falls (2000),Geoffrey (I) Wright,5.1,10073,2000,Horror,317877751,14000000,92,Michael Biehn,1400,M,DJ Qualls,1423,M,Jesse Bradford,3192,M,Zachary Knighton,4987,M,Gabriel Mann,5513,M,Michael Weston,5679,M
Head of State (2003),Chris (I) Rock,5.4,15171,2003,Comedy,37788228,35200000,95,Keith David,2222,M,Chris Rock,4182,M,Chandra Wilson,4696,F,Dylan Baker,5394,M,Reg E. Cathey,5838,M,Tamala Jones,5884,F
The Naked Gun: From the Files of Police Squad! (1988),David (I) Zucker,7.6,116673,1988,Comedy,78041829,12000000,85,Leslie Nielsen,2490,M,Ricardo Montalban,3950,M,Priscilla Presley,4003,F,George Kennedy,5802,M,Weird Al' Yankovic,6128,M,O.J. Simpson,7751,M
RocknRolla (2008),Guy Ritchie,7.3,196995,2008,Action,25739015,18000000,114,Tom Hardy,15,M,Thandie Newton,60,F,Idris Elba,104,M,Gemma Arterton,274,F,Toby Kebbell,339,M,Gerard Butler,391,M
The Bank Job (2008),Roger Donaldson,7.3,153674,2008,Crime,30028592,20000000,111,Jason Statham,288,M,Keeley Hawes,540,F,Saffron Burrows,2476,F,Stephen Campbell Moore,3031,M,David Suchet,4829,M,Hattie Morahan,4985,F
Sucker Punch (2011),Zack Snyder,6.1,199872,2011,Action,89792502,82000000,110,Oscar Isaac,469,M,Carla Gugino,473,F,Jena Malone,496,F,Jon Hamm,559,M,Vanessa Hudgens,929,F,Abbie Cornish,1342,F
Slap Her She's French! (2002),Melanie Mayron,5.1,4879,2002,Comedy,632545,10000000,84,Piper Perabo,21,F,Matt Czuchry,490,M,Nicki Aycox,3377,F,Michael McKean,3815,M,Haley Ramm,4243,F,Jesse James,4350,M
Cousins (1989),Joel Schumacher,6.2,3537,1989,Comedy,22030000,13000000,109,Katharine Isabelle,78,F,Isabella Rossellini,2045,F,Ted Danson,2538,M,William Petersen,5153,M,Keith Coogan,5381,M,Lloyd Bridges,6294,M
Religulous (2008),Larry (I) Charles,7.7,52754,2008,Comedy,12995673,2500000,101,Tom Cruise,49,M,John Travolta,644,M,Max von Sydow,1733,M,Marilyn Manson,1811,M,Charlton Heston,3006,M,Britney Spears,3371,F
A Time to Kill (1996),Joel Schumacher,7.4,101379,1996,Crime,152266007,40000000,149,Matthew McConaughey,62,M,Sandra Bullock,396,F,Samuel L. Jackson,581,M,Kiefer Sutherland,624,M,Kevin Spacey,726,M,Ashley Judd,1017,F
The Medallion (2003),Gordon Chan,5.2,30465,2003,Action,34268701,41000000,108,Scott Adkins,589,M,Claire Forlani,654,F,Jackie Chan,859,M,John Rhys-Davies,2749,M,Julian Sands,5058,M,Lee Evans,7644,M
88 Minutes (2007),Jon Avnet,5.9,66238,2007,Crime,16930884,30000000,108,Alicia Witt,361,F,Al Pacino,510,M,Ben McKenzie,1158,M,Leelee Sobieski,1426,F,Neal McDonough,1581,M,Stephen Moyer,2610,M
Keeping the Faith (2000),Edward (I) Norton,6.4,45107,2000,Comedy,37036404,29000000,128,Edward Norton,664,M,Ben Stiller,963,M,Jenna Elfman,1963,F,Eli Wallach,2437,M,Dagmara Dominczyk,2632,F,Holland Taylor,3026,F
Cake (2014/II),Daniel Barnz,6.4,27886,2014,Drama,1873547,7000000,102,Jennifer Aniston,177,F,Britt Robertson,197,F,Sam Worthington,849,M,William H. Macy,1016,M,Lucy Punch,1674,F,Mamie Gummer,2289,F
Kickin' It Old Skool (2007),Harvey Glazer,4.6,6248,2007,Comedy,4500147,25700000,108,Michael Rosenbaum,1547,M,Vivica A. Fox,1689,F,Alexia Fast,2026,F,Alan Ruck,2193,M,Jamie Kennedy,2769,M,Alexander Calvert,3395,M
9 (2009/I),Shane Acker,7.1,112441,2009,Action,48428063,30000000,79,Jennifer Connelly,229,F,Elijah Wood,918,M,Crispin Glover,1302,M,Christopher Plummer,1860,M,John C. Reilly,2501,M,Martin Landau,3567,M
Semi-Pro (2008),Kent Alterman,5.8,67690,2008,Comedy,33472850,55000000,99,Kristen Wiig,126,F,Will Ferrell,786,M,Woody Harrelson,943,M,Jason Sudeikis,1194,M,Maura Tierney,1496,F,Jackie Earle Haley,1640,M
Kingsman: The Secret Service (2014),Matthew (I) Vaughn,7.7,409779,2014,Action,414351546,81000000,129,Sofia Boutella,5,F,Taron Egerton,504,M,Samuel L. Jackson,581,M,Colin Firth,755,M,Mark Hamill,763,M,Mark Strong,1139,M
Atlas Shrugged II: The Strike (2012),John Putch,5.4,5691,2012,Drama,3333823,10000000,111,Larisa Oleynik,1559,F,Diedrich Bader,1618,M,Samantha Mathis,1868,F,Thomas F. Wilson,3092,M,Bug Hall,4349,M,Jason Beghe,4489,M
The Adjustment Bureau (2011),George Nolfi,7.1,202714,2011,Romance,127869379,50200000,106,Emily Blunt,42,F,Matt Damon,268,M,Pedro Pascal,543,M,Jennifer Ehle,1605,F,Michael Kelly,2331,M,Terence Stamp,2540,M
The Perfect Game (2009),William Dear,7,2702,2009,Comedy,3878993,12500000,118,Clifton Collins Jr.,404,M,Emilie de Ravin,1025,F,Jake T. Austin,2927,M,Moises Arias,3724,M,David Koechner,4096,M,Bruce McGill,4308,M
Pay It Forward (2000),Mimi Leder,7.2,97221,2000,Drama,33508922,40000000,123,Liza Snyder,428,F,Kevin Spacey,726,M,Haley Joel Osment,823,M,Jim Caviezel,979,M,Angie Dickinson,2456,F,David Ramsey,2823,M
Underworld: Evolution (2006),Len (I) Wiseman,6.8,158518,2006,Action,111340801,50000000,106,Kate Beckinsale,112,F,Michael Sheen,770,M,Bill Nighy,1586,M,Scott Speedman,1807,M,Sophia Myles,2310,F,Tony Curran,3367,M
Jackie Brown (1997),Quentin Tarantino,7.5,243445,1997,Crime,74727492,12000000,154,Quentin Tarantino,148,M,Robert De Niro,300,M,Samuel L. Jackson,581,M,Michael Keaton,740,M,Bridget Fonda,1392,F,Chris Tucker,2291,M
Absolute Power (1997),Clint Eastwood,6.7,40106,1997,Action,50007168,50000000,121,Ed Harris,256,M,Clint Eastwood,267,M,Laura Linney,986,F,Gene Hackman,1519,M,Melora Hardin,1928,F,Scott Glenn,2681,M
Forgetting Sarah Marshall (2008),Nicholas Stoller,7.2,220214,2008,Comedy,105173115,30000000,118,Maria Thayer,71,F,Mila Kunis,76,F,Kristen Wiig,126,F,Paul Rudd,579,M,Jonah Hill,665,M,Jason Bateman,865,M
The House of the Devil (2009),Ti West,6.4,31042,2009,Horror,100659,900000,95,Greta Gerwig,1673,F,Lena Dunham,1997,F,Ti West,4153,M,Jocelin Donahue,4689,F,Tom Noonan,4779,M,Mary Woronov,9344,F
Moonrise Kingdom (2012),Wes (I) Anderson,7.8,242352,2012,Adventure,68263166,16000000,94,Tilda Swinton,14,F,Bill Murray,195,M,Bruce Willis,377,M,Edward Norton,664,M,Harvey Keitel,2244,M,Jason Schwartzman,2603,M
Hanna (2011),Joe (IV) Wright,6.8,160676,2011,Action,63782078,30000000,111,Saoirse Ronan,330,F,Michelle Dockery,353,F,Cate Blanchett,480,F,Eric Bana,1463,M,Jason Flemyng,3148,M,Jessica Barden,3346,F
Body of Lies (2008),Ridley Scott,7.1,176632,2008,Action,115097286,70000000,128,Leonardo DiCaprio,38,M,Oscar Isaac,469,M,Annabelle Wallis,610,F,Russell Crowe,633,M,Michael Stuhlbarg,1023,M,Mark Strong,1139,M
Dave Chappelle's Block Party (2005),Michel Gondry,7.2,7788,2005,Comedy,11694528,3000000,100,Dave Chappelle,2696,M,Common,3293,M,Yasiin Bey,5713,M,Michel Gondry,7241,M,John Legend,9441,M,Kanye West,9569,M
A Dirty Shame (2004),John (I) Waters,5.1,10785,2004,Comedy,1339668,15000000,84,Selma Blair,1410,F,Johnny Knoxville,2953,M,James Ransone,3056,M,Tracey Ullman,3063,F,David Hasselhoff,4107,M,Ricki Lake,5322,F
Batman: The Killing Joke (2016),Sam (I) Liu,6.6,28367,2016,Action,3775000,3500000,86,Mark Hamill,763,M,Nolan North,2344,M,Tara Strong,3197,F,Robin Atkin Downes,3409,M,John DiMaggio,4251,M,Ray Wise,4505,M
My Sister's Keeper (2009),Nick Cassavetes,7.4,75770,2009,Drama,95714875,30000000,109,Joan Cusack,519,F,Cameron Diaz,736,F,Sofia Vassilieva,1033,F,Alec Baldwin,1207,M,Elizabeth Daily,1327,F,Jason Patric,1414,M
Mallrats (1995),Kevin (I) Smith,7.2,100047,1995,Comedy,2122561,6000000,123,Ben Affleck,81,M,Claire Forlani,654,F,Shannen Doherty,904,F,Michael Rooker,905,M,Ethan Suplee,1024,M,Kevin Smith,1397,M
The Warrior's Way (2010),Sngmoo Lee,6.3,22548,2010,Action,11087569,45000000,100,Kate Bosworth,1298,F,Geoffrey Rush,1529,M,Danny Huston,2226,M,Ashley Jones,3017,M,Tony Cox,6450,M,Josh Randall,7695,M
John Carter (2012),Andrew (I) Stanton,6.6,214618,2012,Action,284139100,250000000,132,Bryan Cranston,182,M,David Schwimmer,263,M,Taylor Kitsch,843,M,Thomas Haden Church,1103,M,Mark Strong,1139,M,Dominic West,1314,M
Dear Wendy (2004),Thomas Vinterberg,6.6,9059,2004,Comedy,23106,50000000,105,Jamie Bell,1078,M,Mark Webber,1149,M,Bill Pullman,1220,M,Alison Pill,1712,F,Michael Angarano,2785,M,Chris Owen,6048,M
Hitman: Agent 47 (2015),Aleksander Bach,5.7,65473,2015,Action,22464430,35000000,96,Zachary Quinto,647,M,Rupert Friend,882,M,Angelababy,1932,F,Hannah Ware,2110,F,Thomas Kretschmann,4258,M,Emilio Rivera,6964,M
Hot Fuzz (2007),Edgar Wright,7.9,358572,2007,Action,80573774,8000000,121,Cate Blanchett,480,F,Simon Pegg,528,M,Peter Jackson,555,M,Martin Freeman,1263,M,Bill Nighy,1586,M,Lucy Punch,1674,F
Derailed (2005/I),Mikael Håfström,6.6,63148,2005,Drama,57479076,22000000,108,Jennifer Aniston,177,F,David Morrissey,801,M,Addison Timlin,1322,F,Denis O'Hare,1365,M,Clive Owen,1495,M,Vincent Cassel,1505,M
Mrs. Parker and the Vicious Circle (1994),Alan (I) Rudolph,6.4,3683,1994,Biography,2144667,7000000,125,Jennifer Jason Leigh,705,F,Gwyneth Paltrow,1150,F,Jon Favreau,1329,M,Andrew McCarthy,1508,M,Stanley Tucci,1523,M,Matthew Broderick,1713,M
The Cable Guy (1996),Ben Stiller,6,124068,1996,Comedy,102825796,47000000,96,Jim Carrey,406,M,Ben Stiller,963,M,Jack Black,985,M,Eric Roberts,1401,M,Owen Wilson,1404,M,Matthew Broderick,1713,M
The Brothers Solomon (2007),Bob Odenkirk,5.3,9591,2007,Comedy,900926,10000000,93,Kristen Wiig,126,F,Malin Akerman,438,F,Bill Hader,1357,M,Will Arnett,2172,M,Lee Majors,2678,M,Will Forte,3153,M
Monster House (2006),Gil (I) Kenan,6.6,73245,2006,Animation,140175006,75000000,91,Kevin James,965,M,Maggie Gyllenhaal,1282,F,Steve Buscemi,1362,M,Jason Lee,1568,M,Spencer Locke,2199,F,Jon Heder,2711,M
RV (2006),Barry Sonnenfeld,5.5,46782,2006,Adventure,87528173,65000000,99,Hunter Parrish,719,M,Robin Williams,795,M,Matthew Gray Gubler,1029,M,Josh Hutcherson,1049,M,Kristin Chenoweth,1596,F,Will Arnett,2172,M
Half Nelson (2006),Ryan Fleck,7.2,71661,2006,Drama,2694973,700000,106,Ryan Gosling,212,M,Ron Cephas Jones,1031,M,Denis O'Hare,1365,M,Anthony Mackie,2983,M,Katie Nehra,5310,F,Tristan Mack Wilds,6641,M
The Invisible (2007),David S. Goyer,6.3,31360,2007,Crime,20568319,30000000,102,Justin Chatwin,175,M,Alex O'Loughlin,1552,M,Marcia Gay Harden,1843,F,Margarita Levieva,2192,F,Christopher Heyerdahl,3384,M,Chris Marquette,3435,M
Mulan (1998),Tony Bancroft,7.5,175732,1998,Adventure,304320254,90000000,88,Eddie Murphy,721,M,Ming-Na Wen,1591,F,BD Wong,2577,M,James Hong,3161,M,Richard Steven Horvitz,3212,M,Miguel Ferrer,3830,M
If Lucy Fell (1996),Eric (I) Schaeffer,4.9,3420,1996,Comedy,4635344,5000000,93,Scarlett Johansson,89,F,Sarah Jessica Parker,196,F,Ben Stiller,963,M,Robert John Burke,3800,M,Elle Macpherson,4813,F,James Rebhorn,6763,M
The Last Airbender (2010),M. Night Shyamalan,4.2,120285,2010,Action,319731881,150000000,103,M. Night Shyamalan,517,M,Nicola Peltz,820,F,Dev Patel,1644,M,Jackson Rathbone,2239,M,Cliff Curtis,2429,M,Summer Bishil,2658,F
The Maze Runner (2014),Wes Ball,6.8,318794,2014,Action,348319861,34000000,113,Dylan O'Brien,515,M,Kaya Scodelario,797,F,Thomas Brodie-Sangster,1246,M,Will Poulter,1692,M,Patricia Clarkson,3314,F,Ki Hong Lee,5069,M
Cloverfield (2008),Matt (I) Reeves,7,302089,2008,Action,170764026,25000000,85,Lizzy Caplan,193,F,Odette Annable,240,F,Theo Rossi,464,M,T.J. Miller,1045,M,Ben Feldman,1516,M,Jake McLaughlin,1982,M
Weekend at Bernie's II (1993),Robert Klane,4.6,10609,1993,Comedy,12741891,7000000,90,Barry Bostwick,833,M,Andrew McCarthy,1508,M,Gary Dourdan,5020,M,Constance Shulman,6301,F,Jonathan Silverman,6673,M,Terry Kiser,7222,M
Disconnect (2012/I),Henry Alex Rubin,7.6,62194,2012,Drama,7435950,10000000,115,Paula Patton,259,F,Erin Darke,432,F,Jason Bateman,865,M,Frank Grillo,962,M,Andrea Riseborough,1416,F,Max Thieriot,2052,M
Blood Ties (2013/I),Guillaume Canet,6.5,14960,2013,Crime,2415472,25500000,127,Mila Kunis,76,F,Zoe Saldana,121,F,Marion Cotillard,139,F,Matthias Schoenaerts,1042,M,Billy Crudup,1374,M,Clive Owen,1495,M
Wild Things (1998),John McNaughton,6.5,91603,1998,Crime,29753944,20000000,115,Bill Murray,195,M,Neve Campbell,544,F,Kevin Bacon,877,M,Matt Dillon,2280,M,Robert Wagner,3171,M,Jeff Perry,8669,M
The Abyss (1989),James (I) Cameron,7.6,133138,1989,Adventure,90000098,69500000,171,Ed Harris,256,M,Michael Biehn,1400,M,Mary Elizabeth Mastrantonio,2415,F,Michael Beach,3505,M,Chris Elliott,4191,M,Ken Jenkins,8081,M
For Colored Girls (2010),Tyler (I) Perry,6,6131,2010,Drama,37721949,21000000,133,Thandie Newton,60,F,Tessa Thompson,735,F,Michael Ealy,1471,M,Whoopi Goldberg,2416,F,Omari Hardwick,3288,M,Hill Harper,4751,M
Leap Year (2010),Anand Tucker,6.4,72495,2010,Comedy,25918920,19000000,100,Matthew Goode,857,M,John Lithgow,872,M,Kaitlin Olson,1014,F,Adam Scott,1169,M,Dominique McElligott,3029,F,Brian Milligan,6243,M
Mechanic: Resurrection (2016),Dennis Gansel,5.7,18466,2016,Action,20736746,40000000,98,Jason Statham,288,M,Jessica Alba,588,F,Tommy Lee Jones,1444,M,Michelle Yeoh,3286,F,Natalie Burn,5827,F,Yayaying Rhatha Phongam,7547,F
Colombiana (2011),Olivier Megaton,6.4,77442,2011,Action,72295262,40000000,108,Zoe Saldana,121,F,Cynthia Addai-Robinson,939,F,Lennie James,1377,M,Cliff Curtis,2429,M,Max Martini,2529,M,Graham McTavish,2622,M
Super Mario Bros. (1993),Annabel Jankel,4,38789,1993,Adventure,20915465,42000000,96,Fisher Stevens,1209,M,John Leguizamo,1748,M,Samantha Mathis,1868,F,Dennis Hopper,3103,M,Lance Henriksen,3157,M,Dan Castellaneta,3285,M
The Stupids (1996),John (I) Landis,4.1,5715,1996,Adventure,2415593,25000000,94,Christopher Lee,616,M,David Cronenberg,2545,M,Max Landis,3381,M,Frankie Faison,4024,M,Bug Hall,4349,M,Tom Arnold,5351,M
Young Guns (1988),Christopher (I) Cain,6.8,43272,1988,Action,45661556,13000000,107,Dermot Mulroney,189,M,Kiefer Sutherland,624,M,Charlie Sheen,995,M,Emilio Estevez,1737,M,Lou Diamond Phillips,2471,M,Terence Stamp,2540,M
Punchline (1988),David (I) Seltzer,5.8,6624,1988,Comedy,21032267,15000000,128,Tom Hanks,68,M,Candace Cameron Bure,248,F,John Goodman,1303,M,Sally Field,1579,F,Damon Wayans,2125,M,Taylor Negron,5383,M
Touchback (2011),Don Handfield,6.5,3193,2011,Drama,204068,5000000,118,Kurt Russell,686,M,Melanie Lynskey,1123,F,Christine Lahti,2283,F,Marc Blucas,2709,M,James Duval,5226,M,Drew Powell,6571,M
Arthur et les Minimoys (2006),Luc Besson,6,26170,2006,Adventure,113325743,86000000,104,Robert De Niro,300,M,Jason Bateman,865,M,Freddie Highmore,987,M,Emilio Estevez,1737,M,Madonna,1973,F,Harvey Keitel,2244,M
He Got Game (1998),Spike Lee,6.9,36568,1998,Drama,21554585,25000000,136,Milla Jovovich,251,F,Denzel Washington,322,M,Rosario Dawson,354,F,Kim Director,863,F,Ron Cephas Jones,1031,M,Jennifer Esposito,1325,F
Rosencrantz and Guildenstern Are Undead (2009),Jordan Galland,5.1,663,2009,Comedy,71007,600000,89,Ralph Macchio,243,M,Jeremy Sisto,2373,M,Devon Aoki,3202,F,Geneva Carr,4122,F,Azie Tesfai,6920,F,Joey Kern,8070,M
United 93 (2006),Paul Greengrass,7.6,84583,2006,Drama,31483450,15000000,111,Olivia Thirlby,366,F,Cheyenne Jackson,1248,M,Trieste Kelly Dunn,1484,F,Peter Hermann,2292,M,Susan Blommaert,3324,F,Kate Jennings Grant,4998,F
The Mechanic (2011),Simon (I) West,6.6,122330,2011,Action,76347393,40000000,93,Ben Foster,134,M,Jason Statham,288,M,Tony Goldwyn,1703,M,Donald Sutherland,1842,M,David Leitch,4180,M,Mini Anden,5584,F
Miss March (2009),Zach Cregger,5,18477,2009,Comedy,4542775,6000000,90,Carrie Keagan,4048,F,Craig Robinson,4230,M,Kate Luyben,5595,F,Cedric Yarbrough,7418,M,Annie Ilonzeh,7872,F,Betsy Rue,8169,F
Winter's Tale (2014),Akiva Goldsman,6.2,42031,2014,Drama,30800231,60000000,118,Jessica Brown Findlay,184,F,Will Smith,215,M,Jennifer Connelly,229,F,Finn Wittrock,264,M,Matt Bomer,321,M,Colin Farrell,427,M
Super Troopers (2001),Jay Chandrasekhar,7.1,77152,2001,Comedy,18488314,1200000,100,Lynda Carter,302,F,Brian Cox,2210,M,Geoffrey Arend,4501,M,Marisa Coughlan,5100,F,Jay Chandrasekhar,5720,M,Jim Gaffigan,6396,M
Percy Jackson & the Olympians: The Lightning Thief (2010),Chris Columbus,5.9,143404,2010,Adventure,226497209,95000000,118,Alexandra Daddario,37,F,Rosario Dawson,354,F,Logan Lerman,516,M,Erica Cerra,535,F,Pierce Brosnan,752,M,Uma Thurman,822,F
Havana (1990/I),Sydney Pollack,6,5716,1990,Drama,9243140,40000000,144,Raul Julia,384,M,Robert Redford,1217,M,Lena Olin,3869,F,Alan Arkin,4606,M,Dennis Farina,5938,M,Richard Farnsworth,6945,M
In the Name of the King: A Dungeon Siege Tale (2007),Uwe Boll,3.8,38768,2007,Action,4535117,60000000,127,Jason Statham,288,M,Claire Forlani,654,F,Ron Perlman,693,M,Matthew Lillard,1129,M,Leelee Sobieski,1426,F,Burt Reynolds,1809,M
